海老チリ丼,498,https://www.family.co.jp/goods/obento/0731782.html,中華で人気の高い海老チリを丼ぶりにしました。しょうが・にんにく・豆板醤などを炒めて香りを引き出した、本格的な味わいの海老チリソースに、衣を付けた海老をトッピングしました。※東海地方では仕様が異なります。
特製ダレの炙り焼牛カルビ重,550,https://www.family.co.jp/goods/obento/0614214.html,旨みのあるジューシーな牛カルビ肉を、直火で香ばしく炙り焼きしました。甘み、コクが感じられる風味豊かな焼肉たれを使用しています。付け合わせは、もやし・にんじん・ニラのナムルを盛り付けました。※宮崎県、鹿児島県では取り扱いがございません。※北海道、沖縄県では仕様が異なります。
鶏めし&みぞれチキンカツ弁当,498,https://www.family.co.jp/goods/obento/0616171.html,鶏の旨みが楽しめる鶏めしと、チキンカツを組み合わせた食べごたえのあるお弁当です。鶏もも肉のチキンカツには、甘めに仕上げただし醤油味のたれと、大根おろしをのせました。※東北地方の一部では取り扱いがございません。※九州地方の一部では仕様が異なります。
牛肉重（キャベツ入り）,540,https://www.family.co.jp/goods/obento/0731775.html,牛肉とキャベツを一緒に食べていただくお弁当です。牛肉は白ワイン・りんご果汁入りの調味液で煮込み、ごま油などで、香ばしく風味付けしました。千切りキャベツはごま油を和えて、牛肉の下に盛り付けしました。
チャーシュー炒飯,398,https://www.family.co.jp/goods/obento/0614535.html,醤油ベースでシンプルに味付けし、焦がしねぎ油で風味良く仕上げた、旨みのある炒飯です。甘辛いタレで和えたチャーシューをトッピングしました。
やわらか若鶏の唐揚弁当,460,https://www.family.co.jp/goods/obento/0616270.html,唐揚と相性が良いマヨネーズをお好みで付けながら食べていただくお弁当です。唐揚はにんにくをきかせた醤油ベースの味付けで、やわらかくジューシーな味わいが特徴です。別添で「マヨネーズ」付きです。※宮崎県、鹿児島県では取り扱いがございません。
とろーり3種チーズの豚丼,498,https://www.family.co.jp/goods/obento/0731690.html,ゴーダ、モザレラ、チェダーの3種のチーズと、チーズソースを使用した、チーズを楽しむ豚丼です。醤油、みりん、昆布だしなどを合わせた、コクと旨みが感じられる甘めのたれが特徴です。※宮崎県、鹿児島県では取り扱いがございません。
だし香る！ロースかつ丼,550,https://www.family.co.jp/goods/obento/0731713.html,やわらかくジューシーに仕上げた豚ロースカツを使用したボリューム感のあるカツ丼です。かつお節と昆布を使用した旨みのあるだしで仕上げました。※九州地方の一部では仕様が異なります。
【東京都・神奈川県限定】大豆のお肉！キーマカレー,498,https://www.family.co.jp/goods/obento/0731720.html,お肉の代わりに大豆ミートを使用したカレーに、かぼちゃ、たまねぎ、れんこん、にんじんなどをトッピングしました。動物性原料を使用しておらず、日本ベジタリアン協会推奨マークを取得したお弁当です。※一部の店舗のみの取り扱いです。
旨辛！四川風麻婆豆腐丼,398,https://www.family.co.jp/goods/obento/0731645.html,2種の醤を使用し、仕上げに風味豊かなラー油を加えた、ごはんに合う麻婆豆腐です。豚肉は豆板醤・甜麺醤等を合わせたたれで炒め、旨みとコクを引き出しました。別添で「花椒」付きです。※宮崎県、鹿児島県では取り扱いがございません。
